plugin, operation, time (ms), max (ms), num
"leaks.EscapePlugin$IntraEscapeValueHandler", "derefExplicitly", 26, 4, 16 666
"returnvalue.ReturnValueNoCheckPlugin$CompareHandler", "equals", 26, 11, 1 210
"useafterrelease.UseOfReallocatedPointerPlugin$Checker", "pmove", 25, 4, 8 204
"overflow.OverflowUnderCheckPlugin$ValueProjectionHandler", "smaller", 25, 9, 526
"derefofnull.PtrNullObserverPlugin$PtrIsSetToNullPropagator", "apply", 25, 13, 1 230
"tainted.TaintedArrayIndexPlugin$TrustedSinkFlagHandler", "apply", 25, 16, 172
"std.value.SymbolIntervalPlugin$SymbolicIntervalProjHandler", "notGreater", 25, 18, 412
"overflow.pathsens.StringLengthPathSensPlugin$StringEventPropagator", "annotate", 25, 10, 38
"std.StandardHandlers$SourceFlagCopyHandler", "apply", 25, 2, 16 227
"attr SymbolicIntervalAttr", "join", 25, 10, 2 625
"leaks.HandleLeakPlugin$AssignHandler", "apply", 24, 6, 15 138
"attr IsNonHeap", "join", 24, 2, 2 796
"intoverflow.TruncationAtConditionPlugin$ComparisonChecker", "notEquals", 24, 5, 3 717
"std.DependsFromParameterPlugin$ParametrValueIdCreator", "apply", 24, 17, 1 841
"overflow.StaticOverflowProcPlugin$ReliableAccessHandler", "bufferAccess", 23, 11, 561
"intoverflow.IntOverflowUnderCheckPlugin$BoundAttrSetterFromComparison", "greater", 23, 5, 264
"concurrency.NonStaticGuardianStatic$AccessHandler", "pmove", 23, 2, 8 204
"cpp.MemoryLeakCCtorPlugin$HeapStatCollector", "pmove", 23, 9, 8 204
"newdelete.FreeOfNonHeapMemoryPlugin$GlobalValueHandler", "pmove", 23, 5, 8 204
"concurrency.NoCheckInLockPlugin$StaticVariablesCompareHandler", "notEquals", 23, 9, 3 717
"std.LastCalledFuncInfoPlugin$LastCallHandler", "applyPath", 23, 6, 5 732
"leaks.InheritedFromClosablePlugin$ResourceAllocHandler", "functionStart", 22, 5, 1 470
"lib.LibBadLoadPathPlugin$DlOpenCalledSetter", "applyCall", 22, 3, 5 732
"std.value.SoundValueIntervalPlugin$ValueProjectionHandler", "globalNotGreater", 22, 0, 449
"uninit.UninitLocalVarExPlugin$InitOperationsHandler", "compositeAssignment", 22, 3, 1 510
"handlers.SoundValueSetBoundHandler$SoundValueSetBoundConstantOpHandler", "newInt", 22, 0, 11 464
"std.memory.HeapModelPlugin$BadAllocHandler", "equals", 22, 4, 3 297
"newdelete.NewDeletePlugin$ApplyAnnotateHandler", "apply", 22, 5, 17 559
"overflow.BufferOverflowStrictPlugin$SourceOfDoubtfulValue", "functionStart", 21, 1, 1 470
"overflow.BufferOverflowStrictPlugin$LenVersionChecker", "bufferAccess", 21, 16, 124
"derefofnull.DerefOfNullPathSensPlugin$DerefChecker", "apply", 21, 14, 327
"tainted.TaintedArrayIndexPlugin$TaintedArrayIndexLoopChecker", "bufferAccess", 20, 10, 561
"overflow.StrCmpPlugin$StrCmpHandler", "equals", 20, 4, 3 297
"math.DivisionByZeroUnderCheckPlugin$CompareHandler", "equals", 20, 0, 3 297
"std.FieldInfoForStaticVariablesPlugin$ReadWriteHandler", "derefExplicitly", 20, 4, 16 666
"concurrency.NoCheckInLockPlugin$AccessStepsCompareHandler", "notEquals", 19, 7, 500
"junitassert.NoAssertInTestPlugin$FuncCallHandler", "handleCall", 19, 4, 6 424
"go.GoTypeAssertionPlugin$CopyOpHandler", "deref", 19, 5, 35 701
"negative.NegativeErrorPlugin$CantBeNegativeHandler", "equals", 19, 0, 10 972
"std.sens.RSizeMaxFactsPlugin$ApplyCopyHandler", "annotate", 19, 0, 58 677
"overflow.BufferOverflowPlugin$BufferCopyHandler", "bufferAccess", 18, 3, 561
"cpp.MemoryLeakCCtorPlugin$HeapStatCollector", "passedToFunc", 18, 1, 13 801
"grep.BadStringPlugin$BadStringRetHandler", "retBranch", 18, 3, 8 008
"std.OldPureFunctionPlugin$PurePropertyHandler", "compositeAccess", 18, 4, 3 660
"concurrency.NoLockStatPlugin$ReadWriteHandler", "deref", 18, 4, 35 701
"derefofnull.PtrNullObserverPlugin$PtrCantBeNullCreateor", "pmove", 18, 1, 8 204
"attr AddrPassedToUnknownFunc", "join", 18, 0, 17 399
"intoverflow.IntOverflowUnderCheckPlugin$IntegerOverflowChecker", "add", 18, 0, 285
"leaks.EscapePlugin$EscapeValueHandler", "addrPassedToUnknownFunc", 18, 0, 10 684
"std.memory.ObjectHasBeenChangedPlugin$ObjectAccessHandler", "apply", 18, 0, 2 049
"derefofnull.NullPointerDereferencePlugin$NullDerefCopyHandler", "annotate", 18, 0, 2 047
"leaks.EscapePlugin$IntraEscapeValueHandler", "pmove", 18, 1, 8 204
"uninit.UsePlugin$UsedValueHandler", "returnFromCurProc", 18, 5, 974
"overflow.pathsens.ValueComparedPlugin$ValueComparedCreator", "smaller", 17, 13, 259
"overflow.StaticOverflowProcPlugin$ReliableAccessHandler", "apply", 17, 2, 613
"checkers.ProcAddrPlugin$ProcAddrCompareHandler", "globalEquals", 17, 8, 2 600
"useafterrelease.UseAfterFreePathSensPlugin$RetValueAssigner", "retBranch", 17, 7, 2 002
"std.StandardHandlers$NextIterationHandler", "nextIterationForVar", 17, 8, 3 013
"newdelete.FreeIncompatiblePlugin$ExplicitNewOperatorHandler", "retBranch", 17, 5, 2 002
"overflow.pathsens.OverflowConditionPlugin$CallerControlLoopHandler", "globalNotEquals", 17, 10, 3 384
"derefofnull.NullPointerDereferencePlugin$CppTypeInfoIsComparedSetter", "handleCall", 17, 6, 6 424
"attr StaticFlagWithTrace", "join", 17, 7, 3 117
"BufferOverflowPropagator", "annotationApply-propagade", 17, 0, 591
"math.DivisionByZeroPlugin$DerefResHandler", "derefExplicitly", 16, 0, 16 666
"exception.UncaughtExceptionsPlugin$CommonCallHandler", "applyExceptionalPath", 16, 1, 343
"overflow.pathsens.StringLengthPathSensPlugin$ConstantStringCreater", "newString", 16, 9, 1 920
"concurrency.NoCheckInLockPlugin$AccessHanlder", "compositeAccess", 16, 3, 3 660
"intoverflow.IntOverflowUnderCheckPlugin$BoundAttrSetterFromComparison", "notGreater", 16, 1, 412
"attr PtrIsSetToNull", "join", 15, 2, 2 392
"tainted.TaintedPlugin$TaintAccess", "apply", 15, 14, 514
"derefofnull.DerefOfNullPathSensPlugin$CompareWithNullHandler", "equals", 15, 11, 1 472
"std.ConstantDependensPlugin$ResultOfSmallFunctionHandler", "funcRetCall", 15, 3, 5 527
"overflow.OverflowUnderCheckPlugin$ValueProjectionHandler", "greater", 15, 4, 518
"overflow.OverflowUnderCheckPlugin$ValueProjectionHandler", "notGreater", 15, 0, 812
"cpp.MemoryLeakCCtorPlugin$HeapStatCollector", "functionEnd", 15, 10, 1 458
"overflow.pathsens.ValueComparedPlugin$1", "annotate", 15, 9, 18
"negative.PassToProcAfterCheckPlugin$ComparedToNegativeSetter", "notGreater", 15, 13, 406
"negative.NegativeErrorPlugin$DenomWithNegativeArgHandler", "deref", 14, 8, 35 701
"std.value.SoundValueIntervalPlugin$ValueProjectionHandler", "globalGreater", 14, 0, 303
"attr SymbolicCycleOnlyIntervalAttr", "join", 14, 3, 1 173
"std.memory.LinkedListStatePlugin$ListElemUnlinkHandler", "compositeAccess", 14, 0, 3 660
"concurrency.NoCheckInLockPlugin$AccessStepsCompareHandler", "equals", 14, 3, 485
"overflow.BufferIndexPlugin$PtrAccessRangeHandler", "apply", 14, 7, 613
"std.sens.GlobalConditionPlugin$SimpleLoopIndexHandler", "globalNotGreater", 14, 6, 271
"negative.NegativeErrorPlugin$CantBeNegativeHandler", "notEquals", 14, 0, 12 724
"tainted.sensitive.SensitiveLeakPlugin$SerializableJavaClassHandler", "functionStart", 14, 0, 1 470
"intoverflow.TruncationAtConditionPlugin$ComparisonChecker", "equals", 14, 5, 3 297
"overflow.NonterminatedStringPlugin$NNTSReporter", "functionEnd", 14, 1, 1 458
"attr ValueComparedUpperBound", "join", 14, 6, 229
"std.type.UnsignedPlugin$UnsignedPtrPropagator", "funcRetCall", 14, 2, 5 527
"newdelete.NewDeletePlugin$ExceptionPathOfCreatingHandler", "passedToFunc", 13, 1, 13 801
"tainted.loop.SccIteratorPlugin$OriginalVariableNameHandler", "pmove", 13, 0, 8 204
"negative.NegativeErrorPlugin$MaybeCheckedCreateProjectionHandler", "notEquals", 13, 6, 3 717
"ru.isp.svace.sens.strlen.ResultOfStrlenPlugin$LenFunHandler", "funcRetCall", 13, 1, 5 527
"concurrency.NoCheckInLockPlugin$StaticVariablesCompareHandler", "equals", 13, 5, 3 297
"attr ObjectHasBeenChangedAttr", "join", 12, 6, 2 882
"negative.NegativeErrorPlugin$RetHandler", "retBranch", 12, 5, 2 002
"leaks.EscapePlugin$ApplyHandler", "annotate", 12, 0, 10 349
"attr ExceptionCondition", "join", 12, 9, 485
"tainted.loop.InfiniteLoopStringPlugin$UsedInLoopConditionHandler", "notEquals", 12, 5, 3 717
"attr DerefPathAttr", "join", 12, 0, 10 252
"std.memory.ReadAccessPlugin$DerefPathHandler", "apply", 12, 1, 6 403
"std.value.SoundValueIntervalPlugin$ArithOpHandler", "add", 11, 5, 267
"junitassert.NoAssertInTestPlugin$NoAssertChecker", "functionEnd", 11, 2, 1 458
"junitassert.MissingJsonAssertPlugin$FuncRetHandler", "funcRetCall", 11, 5, 5 527
"attr ValueIdAfterApplyAnnotation", "join", 11, 2, 17 331
