function, , time (ms), max (ms), num
"com/fasterxml/jackson/databind/deser/SettableBeanProperty.<init>:(Lcom/fasterxml/jackson/databind/introspect/BeanPropertyDefinition;Lcom/fasterxml/jackson/databind/JavaType;Lcom/fasterxml/jackson/databind/jsontype/TypeDeserializer;Lcom/fasterxml/jackson/databind/util/Annotations;)V", "all", 34, 14, 3
"com/fasterxml/jackson/databind/introspect/POJOPropertyBuilder._mergeAnnotations:(I[Lcom/fasterxml/jackson/databind/introspect/POJOPropertyBuilder$Linked;)Lcom/fasterxml/jackson/databind/introspect/AnnotationMap;", "all", 34, 8, 6
"com/fasterxml/jackson/databind/deser/impl/CreatorCandidate.injection:(I)Lcom/fasterxml/jackson/annotation/JacksonInject$Value;", "all", 33, 17, 9
"com/fasterxml/jackson/databind/util/ClassUtil.findClassAnnotations:(Ljava/lang/Class;)[Ljava/lang/annotation/Annotation;", "all", 33, 12, 9
"java/lang/String.valueOf:(D)Ljava/lang/String;", "all", 33, 10, 18
"com/fasterxml/jackson/databind/deser/BeanDeserializerFactory.addBeanProps:(Lcom/fasterxml/jackson/databind/DeserializationContext;Lcom/fasterxml/jackson/databind/BeanDescription;Lcom/fasterxml/jackson/databind/deser/BeanDeserializerBuilder;)V", "all", 33, 13, 6
"com/fasterxml/jackson/databind/introspect/AnnotatedMethod.getRawParameterType:(I)Ljava/lang/Class;", "all", 33, 9, 7
"com/fasterxml/jackson/databind/introspect/BasicBeanDescription.forOtherUse:(Lcom/fasterxml/jackson/databind/cfg/MapperConfig;Lcom/fasterxml/jackson/databind/JavaType;Lcom/fasterxml/jackson/databind/introspect/AnnotatedClass;)Lcom/fasterxml/jackson/databind/introspect/BasicBeanDescription;", "all", 32, 16, 3
"com/fasterxml/jackson/databind/introspect/AnnotatedMethod.getDeclaringClass:()Ljava/lang/Class;", "all", 32, 6, 7
"com/fasterxml/jackson/databind/deser/std/UUIDDeserializer.<init>:()V", "all", 32, 32, 1
"com/fasterxml/jackson/databind/introspect/AnnotatedCreatorCollector.constructDefaultConstructor:(Lcom/fasterxml/jackson/databind/util/ClassUtil$Ctor;Lcom/fasterxml/jackson/databind/util/ClassUtil$Ctor;)Lcom/fasterxml/jackson/databind/introspect/AnnotatedConstructor;", "all", 32, 23, 2
"com/fasterxml/jackson/databind/DeserializationConfig.introspect:(Lcom/fasterxml/jackson/databind/JavaType;)Lcom/fasterxml/jackson/databind/BeanDescription;", "all", 32, 15, 5
"com/fasterxml/jackson/databind/introspect/AnnotatedMethod.getFullName:()Ljava/lang/String;", "all", 31, 13, 4
"com/houarizegai/calculator/theme/properties/Theme.getOperatorBackground:()Ljava/lang/String;", "all", 31, 3, 10
"com/fasterxml/jackson/databind/deser/BeanDeserializerBase.<init>:(Lcom/fasterxml/jackson/databind/deser/BeanDeserializerBuilder;Lcom/fasterxml/jackson/databind/BeanDescription;Lcom/fasterxml/jackson/databind/deser/impl/BeanPropertyMap;Ljava/util/Map;Ljava/util/Set;ZLjava/util/Set;Z)V", "all", 31, 21, 2
"com/houarizegai/calculator/theme/properties/Theme.getApplicationBackground:()Ljava/lang/String;", "all", 31, 22, 4
"java/lang/String.isEmpty:()Z", "all", 31, 15, 15
"java/util/LinkedList.<init>:()V", "all", 31, 6, 24
"com/fasterxml/jackson/databind/type/TypeFactory._verifyAndResolvePlaceholders:(Lcom/fasterxml/jackson/databind/JavaType;Lcom/fasterxml/jackson/databind/JavaType;)Z", "all", 30, 9, 6
"com/fasterxml/jackson/databind/util/ArrayBuilders.insertInListNoDup:([Ljava/lang/Object;Ljava/lang/Object;)[Ljava/lang/Object;", "all", 30, 4, 8
"com/fasterxml/jackson/databind/introspect/CollectorBase.collectFromBundle:(Lcom/fasterxml/jackson/databind/introspect/AnnotationCollector;Ljava/lang/annotation/Annotation;)Lcom/fasterxml/jackson/databind/introspect/AnnotationCollector;", "all", 30, 5, 8
"com/fasterxml/jackson/databind/introspect/AnnotatedMethod.getParameterCount:()I", "all", 30, 3, 19
"java/lang/String.contains:(Ljava/lang/CharSequence;)Z", "all", 30, 13, 8
